input,output
instruction: What is the capital of France?,output: The capital of France is Paris.
instruction: Variable x is defined as “4x + 2y = 10”. Find the value of x.,"output: The value of x is 2. To find the value, simplify the equation by subtracting 2y from both sides, giving 4x = 10; dividing both sides by 4, giving x = 2/4, which is equal to 2."
"instruction: Given a set of numbers, find the maximum value. \ninput: Set: {10, 3, 25, 6, 16}",output: The maximum value is 25.
instruction: Convert the given binary number to its decimal equivalent. \ninput: 101101,output: The decimal equivalent of 101101 is 45.
instruction: Give an example of a metaphor that uses the following object \ninput: Stars,output: The stars were twinkling diamonds in the night sky.
instruction: Identify the conjunctions in the following sentence \ninput: She wrote a letter and sealed it,"output: The conjunctions in the sentence are ""and""."
instruction: Identify the incorrect word and suggest a better version. \ninput: The waitress served a humonguous burger.,"output: The incorrect word is ""humonguous"" and it should be replaced with ""huge""."
instruction: Change this sentence into the future tense. \ninput: She walks to school.,output: She will walk to school.
instruction: Conver the temperature from Fahrenheit to Celsius. \ninput: 94F,output: 34.4C
"instruction: Find the average of these three numbers. \ninput: 2, 5, 10","output: The average of 2, 5, 10 is 5.67."
instruction: Compile a list of 5 US states located in the Mid West.,"output: The 5 US states located in the Midwest are Illinois, Indiana, Michigan, Ohio, and Wisconsin."
"instruction: Create a questions that can be answered using the following sentence. \ninput: ""It was a beautiful day""",output: What type of day was it?
instruction: Reverse a linked list.,"output: def reverse(head): 
    prev = None
    cur = head 

    while cur:
        next = cur.next
        cur.next = prev 
        prev = cur 
        cur = next
    head = prev
    
    return head"
"instruction: Calculate the amount of money in a bank account with an initial $100 deposit and an interest rate of 6%, compounded annually","output: At the end of year 1, the amount in the bank account would be $106. In year 2, the amount would be $112.36 and at the end of the 10th year, the amount would be $160.54. This illustrates the power of compound interest."
instruction: Create a survey question to measure customer satisfaction,"output: On a scale of 1-5, how satisfied are you with our services?"
instruction: Convert the given sentence into active voice. \ninput: One hundred and fifty books were sold.,output: Someone sold one hundred and fifty books.
instruction: Rewrite the given sentence using a different but similar word. \ninput: She partook in the event.,output: She participated in the event.
instruction: Compose a sonnet about the beauty of nature.,"output: The beauty of nature is forever grand,
A sight to marvel at all over land.
The sky above, the earth below at hand,
So much to see, no eye can understand.

The trees that stretch to the heaven's demand,
The dance of flowers like some strange band,
Behold the wind's gentle whisper grand,
As it rustles the leaves at nature's command.

The rivers that fold, rush and flow,
To the sea like some sweet understated show,
The sun, hidden in the mist, what a glorious glow,
It casts as its warmth in his embrace does stow.

Oh, the beauty of nature, forever grand,
A vision to inspire, with joy that’s grand."
instruction: Rewrite the following sentence so that it is in active voice. \ninput: The problem is being solved by her.,output: She is solving the problem.
instruction: Rewrite the following sentence to avoid any logical fallacies. \ninput: This medicine will cure all your health issues; you should trust me because I am a doctor.,"output: Given my training as a doctor, this medicine is likely to provide a beneficial effect to most health issues."
"instruction: Generate a sentence that follows the structure of: ""All ____ is based on/with _____""",output: All success is based on hard work and dedication.
"instruction: Sort the following list in alphabetical order. \ninput: Camouflage, Furniture, Plaster","output: Furniture, Camouflage, Plaster"
instruction: Name one benefit of meditation.,"output: One benefit of meditation is reduced stress levels. Through regular practice, meditation helps to train the mind to focus, which can lead to improved concentration and awareness. This can help to alleviate feelings of stress, anxiety, and depression, as well as improve quality of sleep."
instruction: Name the three main mountain ranges in the United States.,"output: The three main mountain ranges in the United States are the Rocky Mountains, the Appalachian Mountains, and the Sierra Nevada Mountains."
instruction: Provide the lyrics for the song titled “Yesterday”,"output: Yesterday, all my troubles seemed so far away 
Now it looks as though they're here to stay 
Oh, I believe in yesterday 
Suddenly, I'm not half the man I used to be 
There's a shadow hanging over me 
Oh, yesterday came suddenly"
instruction: Edit the following sentence so that it has correct grammar. \ninput: I were just going to the store,output: I was just going to the store.
instruction: What is the scientific name for a beaver?,output: The scientific name for a beaver is Castor canadensis.
"instruction: Supply a phrase to complete this proverb: ""It's better to be safe than ____.""",output: It's better to be safe than sorry.
instruction: Research about a famous scientist and provide a short biography about him/her.,"output: Marie Curie was a Polish-French scientist known for her contributions to the study of radioactivity. She won two Nobel Prizes in Physics and Chemistry, making her the only woman to win two. Her research into the nature of radioactivity revolutionized our understanding of the atom and ushered in a new era of nuclear science and discovery. She established the first research laboratories for the study of radiation and gave her name to the element polonium, which is named after her native country of Poland."
instruction: Provide an example of a non-renewable source of energy.,"output: A non-renewable source of energy is one that is not able to be replenished on a human timescale. Examples of non-renewable sources include fossil fuels such as oil, natural gas, and coal, as well as nuclear energy. These sources of energy are finite and will eventually become depleted over time."
"instruction: Given a sequence of numbers, calculate the average \ninput: 1, 2, 3, 4, 5",output: 3.0
instruction: How many bytes are there in a kilobyte?,"output: There are 1,024 bytes in a kilobyte."
instruction: Classify the following fruit according to its color. \ninput: Orange,output: Orange is a yellow-orange color.
instruction: Rewrite the following equation in expanded form. \ninput: (x + 3)(2x - 5),output: 2x^2 - 5x + 3x + 15 = 2x^2 + 8x + 15.
instruction: Generate a random password of 6 characters in length using only capital letters and numbers.,output: X9KAE5
instruction: Explain what is meant by the circle of fifths.,"output: The circle of fifths is a musical diagram which maps out all the different key signatures and their respective relationships to one another, by arranging them in a circle with the key of C in the center. It is based on the fact that when going in a clockwise direction, each successive key is a fifth higher than the previous one. This enables musicians to quickly work out the relationships between the different key signatures, which can be helpful in composition and arranging music."
